doc_id,engine,filesize_bytes,num_pages,num_pages_list_entries,pages_missing_entries,num_segments,avg_confidence,engine_time_s,processing_time_s,segments_per_page,has_seg2page,bytes_per_page,pages_per_second_engine,pages_per_second_wall
SC1010_s01_ss01_b01_f01_1906-06-29,easyocr,,,0,,65,0.565,,133.48,,0,,,
SC1010_s01_ss01_b01_f01_1906-09-28,easyocr,,,0,,47,0.664,,138.92,,0,,,
SC1010_s01_ss01_b01_f01_1906-11-30,easyocr,,,0,,21,0.824,,117.57,,0,,,
SC1010_s01_ss01_b01_f01_1907-05-31,easyocr,,,0,,21,0.736,,118.93,,0,,,
SC1010_s01_ss01_b01_f01_1907-06-28,easyocr,,,0,,16,0.732,,77.72,,0,,,
SC1010_s01_ss01_b01_f01_1908-01-10,easyocr,,,0,,63,0.609,,114.23,,0,,,
SC1010_s01_ss01_b01_f01_1908-05-25,easyocr,,,0,,74,0.722,,199.28,,0,,,
SC1010_s01_ss01_b01_f01_1908-05-29,easyocr,,,0,,156,0.74,,245.0,,0,,,
SC1010_s01_ss01_b01_f01_1908-06-28,easyocr,,,0,,99,0.501,,172.5,,0,,,
SC1010_s01_ss01_b01_f01_1908-09-23,easyocr,,,0,,24,0.695,,46.94,,0,,,
SC1010_s01_ss01_b01_f01_1908-10-26,easyocr,,,0,,136,0.747,,707.03,,0,,,
SC1010_s01_ss01_b01_f01_1908-10-30,easyocr,,,0,,183,0.334,,299.07,,0,,,
SC1010_s01_ss01_b01_f01_1908-11-30,easyocr,,,0,,10,0.402,,38.55,,0,,,
SC1010_s01_ss01_b01_f01_1908-12-18,easyocr,,,0,,119,0.372,,267.9,,0,,,
SC1010_s01_ss01_b01_f02_1906-05-25,easyocr,,,0,,14,0.694,,47.64,,0,,,
SC1010_s01_ss01_b01_f02_1907-10-04,easyocr,,,0,,69,0.762,,204.1,,0,,,
SC1010_s01_ss01_b01_f02_1908-04-20,easyocr,,,0,,40,0.715,,127.36,,0,,,
SC1010_s01_ss01_b02_f01_1955-01,easyocr,,,0,,48,0.822,,181.4,,0,,,
SC1010_s01_ss01_b02_f06_1955-09,easyocr,,,0,,65,0.803,,240.33,,0,,,
SC1010_s01_ss01_b02_f13_1956-06,easyocr,,,0,,204,0.796,,626.03,,0,,,
SC1010_s01_ss01_b02_f19_1956-10,easyocr,,,0,,221,0.806,,652.43,,0,,,
SC1010_s01_ss01_b03_f09-1958-09,easyocr,,,0,,668,0.822,,3078.02,,0,,,
SC1010_s01_ss01_b03_f18_1959-06,easyocr,,,0,,394,0.801,,1461.16,,0,,,
SC1010_s01_ss01_b04_f04_1959-12,easyocr,,,0,,390,0.796,,1497.31,,0,,,
SC1010_s01_ss01_b01_f01_1908-06-28,smoldocling,,,0,,86,,,66.84,,0,,,
SC1010_s01_ss01_b06_f02_1961-05,smoldocling,,,0,,528,,,272.06,,0,,,
fq030hb5539,smoldocling,,,0,,119,,,274.59,,0,,,
mp345fw1333,smoldocling,,,0,,752,,,534.0,,0,,,
nx720kg5074,smoldocling,,,0,,61,,,27.31,,0,,,
SC1010_s01_ss01_b01_f01_1906-06-29,tesseract,37080272.0,9.0,9,0.0,128,73.7295918367347,14.85,14.85,14.222222222222221,1,4120030.222222222,0.6060606060606061,0.6060606060606061
SC1010_s01_ss01_b01_f01_1906-09-28,tesseract,95744381.0,11.0,11,0.0,84,81.53252032520325,20.19,20.2,7.636363636363637,1,8704034.636363637,0.5448241703813769,0.5445544554455446
SC1010_s01_ss01_b01_f01_1906-11-30,tesseract,77746759.0,9.0,9,0.0,62,86.50926829268293,14.73,14.73,6.888888888888889,1,8638528.777777778,0.6109979633401221,0.6109979633401221
SC1010_s01_ss01_b01_f01_1907-05-31,tesseract,79726325.0,9.0,9,0.0,93,88.95976073953236,18.83,18.84,10.333333333333334,1,8858480.555555556,0.4779607010090282,0.47770700636942676
SC1010_s01_ss01_b01_f01_1907-06-28,tesseract,51680920.0,6.0,6,0.0,49,85.26840855106889,10.54,10.54,8.166666666666666,1,8613486.666666666,0.5692599620493359,0.5692599620493359
SC1010_s01_ss01_b01_f01_1908-01-10,tesseract,80576101.0,9.0,9,0.0,97,88.88284085018144,18.82,18.82,10.777777777777779,1,8952900.111111112,0.4782146652497343,0.4782146652497343
SC1010_s01_ss01_b01_f01_1908-05-25,tesseract,135825934.0,15.0,15,0.0,238,81.52308120133482,33.49,33.49,15.866666666666667,1,9055062.266666668,0.4478948939982084,0.4478948939982084
SC1010_s01_ss01_b01_f01_1908-05-29,tesseract,167792196.0,19.0,19,0.0,301,84.41323042998897,42.18,42.19,15.842105263157896,1,8831168.210526315,0.45045045045045046,0.45034368333728375
SC1010_s01_ss01_b01_f01_1908-06-28,tesseract,122931732.0,14.0,14,0.0,132,85.78256374913853,29.89,29.89,9.428571428571429,1,8780838.0,0.46838407494145196,0.46838407494145196
SC1010_s01_ss01_b01_f01_1908-09-23,tesseract,32798756.0,4.0,4,0.0,32,71.64378478664193,6.81,6.82,8.0,1,8199689.0,0.5873715124816447,0.5865102639296187
SC1010_s01_ss01_b01_f01_1908-10-26,tesseract,165703762.0,31.0,31,0.0,330,85.72184639872663,69.46,69.46,10.64516129032258,1,5345282.645161291,0.4463000287935503,0.4463000287935503
SC1010_s01_ss01_b01_f01_1908-10-30,tesseract,190841677.0,22.0,22,0.0,216,76.84239475354347,48.38,48.38,9.818181818181818,1,8674621.681818182,0.4547333608929309,0.4547333608929309
SC1010_s01_ss01_b01_f01_1908-11-30,tesseract,26913226.0,3.0,3,0.0,25,81.68452380952381,6.78,6.78,8.333333333333334,1,8971075.333333334,0.44247787610619466,0.44247787610619466
SC1010_s01_ss01_b01_f01_1908-12-18,tesseract,188590568.0,20.0,20,0.0,161,79.04113177888394,40.7,40.7,8.05,1,9429528.4,0.49140049140049136,0.49140049140049136
SC1010_s01_ss01_b01_f02_1906-05-25,tesseract,33065727.0,4.0,4,0.0,23,65.8804347826087,6.68,6.68,5.75,1,8266431.75,0.5988023952095809,0.5988023952095809
